"sep=	"
Shimmer_B64E_Timestamp_FormattedUnix_CAL	Shimmer_B64E_ECG_LA-RA_24BIT_CAL	Shimmer_B64E_ECG_LL-RA_24BIT_CAL	Shimmer_B64E_ECG_RESP_24BIT_CAL	Shimmer_B64E_ECG_Vx-RL_24BIT_CAL	
yyyy/mm/dd hh:mm:ss.000	mV	mV	mV	mV	
2015/06/25 15:39:24.532	-0.0656306821859696	-0.563991137026684	-1.49904805410481	-2.89820765235515	
2015/06/25 15:39:24.533	-0.0656306821859696	-0.563269920738926	-1.50193291925584	-2.89207731390921	
2015/06/25 15:39:24.534	-0.0645488577543327	-0.557500190436863	-1.4907540667956	-2.87765298815405	
2015/06/25 15:39:24.535	-0.0649094658982117	-0.563269920738926	-1.49940866224869	-3.03812361218019	
2015/06/25 15:39:24.536	-0.0663518984737275	-0.564712353314442	-1.49291771565887	-3.05254793793534	
2015/06/25 15:39:24.537	-0.0688761554808802	-0.562909312595047	-1.49291771565887	-3.05254793793534	
2015/06/25 15:39:24.538	-0.0692367636247592	-0.5517304601348	-1.49291771565887	-3.05254793793534	
2015/06/25 15:39:24.539	-0.0739246694951856	-0.556057757861347	-1.49291771565887	-3.05254793793534	
2015/06/25 15:39:24.540	-0.0728428450635487	-0.554254717141952	-1.48822980978844	-3.2487187682055	
2015/06/25 15:39:24.541	-0.0638276414665748	-0.561466880019531	-1.4889510260762	-3.26999464869435	
2015/06/25 15:39:24.542	-0.0667125066176065	-0.556778974149105	-1.4889510260762	-3.26999464869435	
2015/06/25 15:39:24.543	-0.0656306821859696	-0.553533500854194	-1.4889510260762	-3.26999464869435	
2015/06/25 15:39:24.544	-0.0677943310492434	-0.557139582292984	-1.4889510260762	-3.26999464869435	
2015/06/25 15:39:24.545	-0.062745817034938	-0.552091068278679	-1.4889510260762	-3.26999464869435	
2015/06/25 15:39:24.546	-0.0667125066176065	-0.558942623012379	-1.4889510260762	-3.26999464869435	
2015/06/25 15:39:24.547	-0.0663518984737275	-0.556057757861347	-1.4889510260762	-3.26999464869435	
2015/06/25 15:39:24.548	-0.0631064251788169	-0.556778974149105	-1.47849338990371	-3.02009320498624	
2015/06/25 15:39:24.549	-0.0699579799125171	-0.561106271875652	-1.48029643062311	-2.9248926550022	
2015/06/25 15:39:24.550	-0.0674337229053644	-0.553894108998073	-1.48354190391802	-2.92092596541953	
2015/06/25 15:39:24.551	-0.0724822369196698	-0.558221406724621	-1.48137825505474	-2.89784704421127	
2015/06/25 15:39:24.552	-0.0667125066176065	-0.560745663731773	-1.47957521433535	-2.86214683796726	
2015/06/25 15:39:24.553	-0.0714004124880329	-0.556418366005226	-1.48101764691086	-2.85890136467235	
2015/06/25 15:39:24.554	-0.0663518984737275	-0.555697149717468	-1.47813278175983	-2.88234089402448	
2015/06/25 15:39:24.555	-0.0616639926033011	-0.554615325285831	-1.47560852475268	-2.96888684855543	
2015/06/25 15:39:24.556	-0.0681549391931223	-0.556418366005226	-1.4820994713425	-3.01612651540357	
